customer_id,trans_date,tran_amount
CS5295,2/11/2013,35
CS4768,3/15/2015,39
CS2122,2/26/2013,52
CS1217,11/16/2011,99
CS1850,11/20/2013,78
CS5539,3/26/2014,81
CS2724,2/6/2012,93
CS5902,1/30/2015,89
CS6040,1/8/2013,76
CS3802,8/20/2013,75
CS3494,7/2/2013,94
CS3780,3/25/2013,80
CS1171,11/3/2012,59
CS2892,5/12/2013,43
CS5552,12/29/2014,78
CS6043,1/15/2014,98
CS4147,7/8/2013,81
CS4655,12/30/2013,93
CS3904,7/20/2014,103
CS4102,7/9/2011,96
CS2086,3/5/2013,75
CS6085,1/9/2013,49
CS1328,2/6/2013,54
CS4564,3/27/2012,48
CS5910,1/1/2012,98
CS2748,3/23/2013,37
CS5147,4/29/2013,72
CS1770,11/2/2012,83
CS3510,10/24/2011,81
CS2509,12/5/2011,105
CS2859,2/27/2015,77
CS1512,2/21/2015,71
CS4148,8/22/2013,48
CS1735,3/31/2012,70
CS1588,1/27/2012,70
CS5514,1/9/2013,36
CS5933,10/7/2013,48
CS2797,3/6/2014,87
CS5313,12/2/2012,88
CS5966,3/9/2012,39
CS5211,5/18/2014,51
CS1511,1/13/2015,47
CS6087,11/24/2014,37
CS5909,2/4/2012,80
CS2845,3/8/2013,105
CS1433,11/5/2012,78
CS4897,4/12/2014,45
CS2296,12/28/2012,79
CS1494,6/29/2013,59
CS3688,6/19/2014,55
CS2287,12/23/2011,94
CS3779,6/26/2011,69
CS1423,6/5/2014,78
CS2501,11/14/2012,59
CS3434,2/22/2013,98
CS2662,8/31/2014,88
CS2209,3/12/2012,35
CS4530,6/5/2011,40
CS2848,2/4/2013,53
CS2596,9/19/2011,55
CS4421,5/20/2012,86
CS4905,4/13/2012,93
CS5704,12/4/2011,79
CS2403,7/27/2014,94
CS5480,1/28/2012,63
CS5811,8/23/2013,91
CS2051,12/9/2014,101
CS3957,8/30/2012,69
CS4704,11/25/2014,41
CS2289,5/19/2012,67
CS5218,6/21/2014,45
CS4637,5/20/2011,71
CS3158,5/6/2012,91
CS4176,7/30/2012,49
CS1939,11/25/2011,101
CS5403,12/1/2011,64
CS5489,12/2/2014,77
CS4563,5/30/2011,101
CS3508,5/23/2012,67
CS2703,10/12/2014,40
CS2596,5/1/2013,76
CS5990,10/19/2012,103
CS4215,7/9/2011,54
CS4811,1/26/2012,77
CS2070,1/30/2013,41
CS3419,1/29/2015,38
CS3668,8/14/2014,102
CS4623,9/27/2013,89
CS4708,7/2/2013,48
CS1816,9/22/2013,64
CS5376,12/8/2013,44
CS4568,11/15/2011,70
CS1779,1/27/2012,53
CS2447,7/10/2011,82
CS1985,8/16/2011,87
CS2544,11/7/2011,64
CS2158,9/11/2012,89
CS5776,9/9/2014,87
CS5653,9/4/2013,98
CS2291,10/15/2014,67
CS6088,10/29/2012,48
CS4245,6/2/2014,102
CS3344,7/2/2014,56
CS1481,12/23/2013,50
CS5400,12/23/2011,56
CS5463,8/27/2014,91
CS5951,8/7/2014,104
CS5515,2/19/2012,41
CS3039,5/1/2012,92
CS1836,3/24/2012,63
CS4320,4/9/2014,52
CS4889,12/1/2011,38
CS1319,9/26/2011,95
CS4859,1/7/2015,50
CS4148,2/8/2014,40
CS5264,4/3/2013,81
CS4041,12/29/2014,49
CS2183,1/4/2013,39
CS2516,2/15/2015,55
CS1890,11/3/2012,37
CS3730,2/11/2013,89
CS5382,3/7/2013,48
CS5970,6/13/2014,40
CS5260,1/30/2015,46
CS2437,11/13/2011,90
CS4675,9/11/2011,67
CS2920,10/11/2011,87
CS2548,9/28/2013,73
CS1818,12/26/2011,46
CS6098,9/28/2012,42
CS2712,12/26/2011,65
CS2714,12/14/2011,69
CS2615,8/17/2013,39
CS5445,7/27/2014,72
CS5812,11/2/2014,62
CS4636,9/22/2013,66
CS3147,6/4/2014,84
CS1273,2/1/2012,91
CS4243,11/11/2011,48
CS2357,4/13/2012,71
CS1776,5/3/2014,79
CS5643,3/2/2013,104
CS4522,3/6/2015,82
CS2418,2/1/2015,51
CS1330,11/21/2014,41
CS1195,12/29/2014,83
CS4306,3/7/2015,54
CS2137,9/29/2013,73
CS3518,6/19/2013,54
CS5835,9/18/2011,52
CS4701,1/15/2015,95
CS4548,6/28/2012,38
CS2384,10/15/2012,35
CS4081,2/17/2013,74
CS5976,1/2/2012,99
CS3874,9/8/2011,44
CS5356,6/17/2014,105
CS4667,9/17/2014,66
CS4328,6/4/2012,56
CS3291,8/2/2013,42
CS4282,9/11/2011,44
CS4331,9/25/2011,70
CS1243,3/17/2013,36
CS2390,5/20/2014,104
CS2207,4/5/2014,71
CS1270,11/18/2011,104
CS1219,11/11/2014,91
CS5427,11/13/2012,96
CS5474,5/18/2011,69
CS5109,5/23/2012,92
CS5287,3/14/2015,94
CS3477,5/5/2013,80
CS3970,12/13/2011,86
CS5760,12/8/2011,59
CS2149,4/4/2013,83
CS4934,7/19/2014,80
CS1517,10/18/2013,89
CS1641,12/29/2012,64
CS2187,11/19/2011,70
CS5359,8/12/2014,96
CS3124,12/8/2011,71
CS1721,8/30/2012,96
CS5212,1/22/2015,42
CS5111,8/23/2011,81
CS3137,4/4/2012,67
CS1511,1/25/2015,69
CS2509,2/23/2014,92
CS5994,1/11/2014,42
CS2613,8/25/2013,103
CS1934,8/18/2014,89
CS3127,10/2/2011,39
CS5225,3/18/2014,104
CS1815,11/17/2012,83
CS3552,4/27/2014,102
CS1893,11/17/2013,42
CS3621,10/26/2013,56
CS4330,7/17/2013,59
CS4991,7/20/2013,90
CS2312,10/22/2013,37
CS2359,6/4/2012,90
CS4798,12/6/2012,84
